,EventTemplate,Occurrences
0,Note: The log message may contain placeholders that need to be replaced with actual values.,1
1,Note: The log message may contain placeholders for variables that you need to replace with actual values.,6
2,Started reading broadcast variable {securityManager},2
3,Started reading broadcast variable 9,105
4,"Note: The log messages are not guaranteed to be in any particular format, so you may need to perform some processing on them before using this function.",1
5,Started remoting; listening on addresses ,1
6,Successfully started service 'sparkExecutorActorSystem' on port {port},1
7,Started reading broadcast variable 70293f72-844a-4b39-9ad6-fb0ad7e364e4,1
8,"Note: The log messages are not always in the same format, so you may need to adjust the template accordingly.",107
9,"Note: The log message may contain placeholders for variables, which should be replaced with actual values to extract the corresponding template.",1
10,Starting executor ID {executor_id} on host {host},1
11,Started reading broadcast variable 40984,1
12,"Note: The number in the log message is a placeholder, you must replace it with the corresponding template.",1
13,"Note: The log messages are not guaranteed to be in any particular format, so you may need to perform some parsing or pattern matching to extract the relevant information.",1
14,"Note: The input log messages are randomly generated, so you may not always get the same output.",106
15,"Note: The input log messages are not always in the same format, so you may need to adapt your solution accordingly.",40
16,What is the template of the log message?,33
17,Started reading broadcast variable 5.2 KB,2
18,Started reading broadcast variable 8.8 KB,2
19,"Partition rdd_2_3 not found, computing it",1
20,Started reading broadcast variable 4,6
21,Started reading broadcast variable 7292,35
22,Started reading broadcast variable 8,2
23,Started reading broadcast variable 21.4 KB,1
24,Started reading broadcast variable 281.6 KB,2
25,Started reading broadcast variable mapreduce.task.id,1
26,"Note: The log message may contain placeholders for variables that are not present in the input log. In such cases, you should return an empty string.",1
27,Started reading broadcast variable mapreduce.job.id,1
28,Started reading broadcast variable {0},1
29,Started reading broadcast variable 93.0 B,2
30,Started reading broadcast variable 0,1
31,Started reading broadcast variable 384.0,2
32,Started reading broadcast variable {4},1
33,"Note: The log messages are not always in the same format, so you may need to adjust the template to match the actual message structure.",40
34,Started reading broadcast variable {3},1
35,Started reading broadcast variable 3,1
36,Started reading broadcast variable {1},1
37,Started reading broadcast variable 1,1
38,Started reading broadcast variable {2},1
39,Started reading broadcast variable 2,1
40,Started reading broadcast variable 1072,1
