,EventTemplate,Occurrences
0,{},5
1,Changing view acls to: {placeholders},2
2,"Note: The log messages are not always in the same format, so you may need to adjust the templates accordingly.",8
3,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
4,Slf4jLogger started,2
5,"Note: The input log message may contain placeholders for variables, which will be replaced with actual values when you run the script.",167
6,Please provide the output of the template.,1
7,Please provide the output of the template of the log message.,21
8,Please provide the output of the log message template.,69
9,17.7 GB,1
10,Connecting to driver: {driver},1
11,Successfully registered with driver,1
12,Starting executor ID {5} on host {mesos-slave-07},1
13,Server created on {40984},1
14,Note: The placeholders are case-sensitive.,1
15,BlockManager: registered,1
16,"Note: The input log messages may contain placeholders for variables, which will be replaced with actual values when you run the script.",53
17,Running task {0}.0 in stage {0}.0 (TID {0}),1
18,Running task {2}.0 in stage {0}.0 (TID {2}),1
19,Running task {stage}.{tid} in stage {stage}.{tid},1
20,Running task {3}.0 in stage {0}.0 (TID {3}),1
21,Running task {4}.0 in stage {0}.0 (TID {4}),1
22,"Note: The input log may contain multiple templates separated by newlines or other separators, and you must handle each template separately.",2
23,"Block broadcast_9_piece0 stored as bytes in memory (estimated size {size}, free {free})",1
24,Please provide the output of the template of the given log message.,2
25,"Block broadcast_9 stored as values in memory (estimated size {size}, free {free})",1
26,"Partition {rdd_2_1} not found, computing it",1
27,"Partition {rdd_2_3} not found, computing it",1
28,"Partition {rdd_2_0} not found, computing it",1
29,"Partition {rdd_2_2} not found, computing it",1
30,"Partition {rdd_2_4} not found, computing it",1
31,Input split: {hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292},2
32,Input split: {hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292},2
33,Input split: {hdfs://10.10.34.11:9000/pjhe/logs/}2kSOP.log:0+{7292},2
34,Input split: {hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292},2
35,Input split: {hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292},2
36,"Note: The input log may contain multiple templates separated by newlines or spaces, and you must extract each template separately using the provided placeholders.",2
37,"Block broadcast_8_piece0 stored as bytes in memory (estimated size {size}, free {free})",1
38,"Block broadcast_8 stored as values in memory (estimated size {size}, free {free})",1
39,Started reading broadcast variable {variable},2
40,"Block broadcast_0_piece0 stored as bytes in memory (estimated size {estimated_size} B, free {free_space} KB)",1
41,"Block broadcast_0 stored as values in memory (estimated size {size}, free {free})",1
42,"Block broadcast_4_piece0 stored as bytes in memory (estimated size {size}, free {free})",1
43,Reading broadcast variable {ms},13
44,"Block broadcast_{4} stored as values in memory (estimated size {size}, free {free})",1
45,Note: The input log may contain multiple templates separated by newlines or other separators. Please handle them accordingly.,27
46,"Block broadcast_3_piece0 stored as bytes in memory (estimated size {estimated_size}, free {free}",1
47,"Block broadcast_{3} stored as values in memory (estimated size {size}, free {free})",1
48,"Note: The input log's template may contain placeholders, which will be replaced with actual values when you run the script.",1
49,"Block broadcast_1_piece0 stored as bytes in memory (estimated size {107.0 B}, free {318.6 KB})",1
50,"Block broadcast_1 stored as values in memory (estimated size {size}, free {free})",1
51,"Note: The input log may contain multiple templates separated by newlines, and you must extract each template separately.",2
52,"Block broadcast_2_piece0 stored as bytes in memory (estimated size {size} B, free {free} KB)",1
53,"Block broadcast_2 stored as values in memory (estimated size {size}, free {free})",1
54,Times: total = 1072; boot = 856; init = 210; finish = 6,1
55,Times: total = 1074; boot = 869; init = 199; finish = 6,1
