,EventTemplate,Occurrences
0,ok {path},569
1,mod_jk child workerEnv in error state 6 ok {path},369
2,jk2_init() ok {child} in scoreboard slot {slot},583
3,jk2_init() ok /etc/httpd/conf/workers2.properties,217
4,mod_jk child workerEnv in error state 7 ok {path},101
5,jk2_init() ok {scoreboard_slot},4
6,jk2_init() ok {child} Found child 25805 in scoreboard slot 9,1
7,What is the template of the log message?,5
8,mod_jk child workerEnv in error state 8 ok {path},44
9,jk2_init() ok {child} in scoreboard slot {8},3
10,jk2_init() ok {child} Found child 32553 in scoreboard slot 9,1
11,jk2_init() ok {child} Found child 32580 in scoreboard slot 6,1
12,jk2_init() ok {child} Found child 32583 in scoreboard slot 8,1
13,mod_jk child workerEnv in error state 10 ok {path},5
14,jk2_init() ok {child} Found child 32588 in scoreboard slot 8,1
15,jk2_init() ok {child} Found child 32593 in scoreboard slot 8,1
16,mod_jk child workerEnv in error state 9 ok {path},20
17,jk2_init() ok {scoreboard_slot} 10,1
18,"What is the template of the log message?

Note: The input log message may contain placeholders, which should be replaced with the corresponding values to extract the template.",8
19,"What is the template of the log message?

Note: The input log message may contain placeholders, which should be replaced with the corresponding values.",13
20,"What is the template of the log message?

Note: The log message may contain placeholders, which should be replaced with actual values when using the template.",2
21,"What is the template of the log message?

Note: The log message may contain placeholders, which should be replaced with the corresponding values.",3
22,jk2_init() Can't find child {scoreboard_id} in scoreboard,7
23,mod_jk child init ok {path},12
24,jk2_init() ok {scoreboard slot},11
25,jk2_init() Can't find child {scoreboard},5
26,jk2_init() ok {9},1
27,jk2_init() ok {child} Found child 5001 in scoreboard slot 9,1
28,jk2_init() ok {child} Found child 5003 in scoreboard slot 6,1
29,jk2_init() ok {child} Found child 5005 in scoreboard slot 9,1
30,jk2_init() ok {child} Found child 5019 in scoreboard slot 7,1
31,jk2_init() ok {child} Found child 5024 in scoreboard slot 9,1
32,jk2_init() ok {child} Found child 5029 in scoreboard slot 8,1
33,jk2_init() ok {child} Found child 5034 in scoreboard slot 6,1
34,jk2_init() ok {child} Found child 5048 in scoreboard slot 6,1
35,jk2_init() ok {scoreboard_slot} 5503,1
36,jk2_init() ok {child} Found child 5901 in scoreboard slot 9,1
37,"What is the template of the log message?

Note: The log message may contain placeholders, which should be replaced with actual values to create a valid template.",1
