,EventTemplate,Occurrences
0,Found block <*> locally,252
1,"Note: The input log message may contain placeholders for variables, which will be replaced with actual values when you run the script.",167
2,Times: total = <*>; boot = <*>; init = <*>; finish = <*>,166
3,Running task <*> in stage <*> (TID <*>),133
4,Running task <*> locally,123
5,Finished task <*> in stage <*>. <*> result sent to driver,109
6,Times: total = <*>; boot = -<*>; init = <*>; finish = <*>,92
7,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",75
8,"Partition <*> not found, computing it",74
9,Please provide the output of the log message template.,69
10,<*>,62
11,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,58
12,Finished task <*> in stage <*>. (<*>),55
13,"Note: The input log messages may contain placeholders for variables, which will be replaced with actual values when you run the script.",53
14,Finished task <*> in stage <*>. <*> bytes result sent to driver,47
15,Input split: {hdfs://10.<*>:9000/pjhe/logs/2kSOSP.log:<*>+<*>},40
16,"Times: total = <*>, boot = -<*>, init = <*>, finish = <*>",37
17,File Output Committer Algorithm version is <*>,30
18,Please provide the input log's template delimited by backticks.,30
19,Committed,30
20,Note: The input log may contain multiple templates separated by newlines or other separators. Please handle them accordingly.,27
21,Please provide the output of the template of the log message.,21
22,Running task <*> in TID <*>,21
23,"Note: The input log message may contain placeholders for variables that are not present in the output template, so you should use curly braces to indicate the absence of a variable in the output template.",16
24,Running task <*> in <*>,15
25,Reading broadcast variable <*>,14
26,Finished task <*> in stage <*>.,11
27,Please provide the output of the log message's template.,10
28,"Note: The log messages are not always in the same format, so you may need to adjust the templates accordingly.",8
29,Running task <*> in stage <*>,8
30,Finished task <*> in stage <*>. <*>,8
31,Got assigned task,8
32,Finished task <*> in stage <*>,8
33,"Block <*> stored as values in memory (estimated size <*>, free <*>)",5
34,Running task <*>,5
35,"Times: total = <*>, boot = -<*>; init = <*>; finish = <*>",3
36,Changing view acls to: <*>,2
37,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",2
38,Slf4jLogger started,2
39,"Note: The input log may contain multiple templates separated by newlines or other separators, and you must handle each template separately.",2
40,Please provide the output of the template of the given log message.,2
41,Input split: {hdfs://10.<*>:9000/pjhe/logs/}2kSOP.log:<*>+<*>,2
42,"Note: The input log may contain multiple templates separated by newlines or spaces, and you must extract each template separately using the provided placeholders.",2
43,Started reading broadcast variable <*>,2
44,"Note: The input log may contain multiple templates separated by newlines, and you must extract each template separately.",2
45,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",2
46,What do you think the output should be?,2
47,Reading broadcast variable <*> took <*>,2
48,Please provide the output of the template.,1
