,EventTemplate,Occurrences
0,Started reading broadcast variable <*>,289
1,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",238
2,Finished task <*> in stage <*>. <*> bytes result sent to driver,160
3,"Note: The input log messages are randomly generated, so you may not always get the same template for each input.",154
4,"Note: The log messages are not always in the same format, so you may need to adjust the template accordingly.",107
5,"Note: The input log messages are randomly generated, so you may not always get the same output.",106
6,"Note: The log messages are not always in the same format, so you may need to adjust the template to match the actual format of the log message.",105
7,Running task <*> in stage <*> (TID <*>),86
8,Running task <*> in stage <*>,85
9,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,64
10,Finished task <*> in stage <*>. <*>,60
11,Started reading broadcast variable <*> KB,53
12,Note: The log message is a string and contains placeholders for variables that you need to extract using the template.,45
13,"Note: The input log messages are not always in the same format, so you may need to adapt your solution accordingly.",40
14,"Note: The log messages are not always in the same format, so you may need to adjust the template to match the actual message structure.",40
15,What is the template of the log message?,33
16,Committed template <*>,30
17,Found block rdd_2_3 locally,17
18,Found block rdd_2_4 locally,17
19,Started reading broadcast variable <*> B,12
20,Finished task <*> in stage <*>. <*> result sent to driver,12
21,"Note: The input log messages are randomly generated, so you may not always get the same template.",10
22,<*>,8
23,Note: The log message may contain placeholders for variables that you need to replace with actual values.,6
24,"Times: total = <*>, boot = -<*>, init = <*>, finish = <*>",4
25,Found block rdd_42_2 locally,3
26,Found block rdd_42_1 locally,3
27,Found block rdd_42_5 locally,3
28,Found block rdd_42_7 locally,3
29,Found block rdd_42_6 locally,3
30,Found block rdd_42_8 locally,3
31,Found block <*>,3
32,Found block rdd_42_10 locally,3
33,Found block rdd_42_11 locally,3
34,Found block rdd_42_12 locally,3
35,Found block rdd_42_13 locally,3
36,Found block rdd_42_14 locally,3
37,Found block rdd_42_15 locally,3
38,Found block rdd_42_16 locally,3
39,Found block rdd_42_17 locally,3
40,Found block rdd_42_19 locally,3
41,Found block rdd_42_18 locally,3
42,Found block rdd_42_20 locally,3
43,Found block rdd_42_21 locally,3
44,Found block rdd_42_22 locally,3
45,Found block rdd_42_24 locally,3
46,Found block rdd_42_23 locally,3
47,Found block rdd_42_25 locally,3
48,Found block rdd_42_26 locally,3
49,Found block rdd_42_27 locally,3
50,Found block rdd_42_29 locally,3
51,Found block rdd_42_32 locally,3
52,Found block rdd_42_30 locally,3
53,Found block rdd_6_3 locally,2
54,Found block rdd_6_1 locally,2
55,Times: total = <*>,2
56,Found block rdd_11_0 locally,2
57,Found block rdd_11_4 locally,2
58,Found block rdd_11_3 locally,2
59,Found block rdd_11_2 locally,2
60,Found block rdd_11_1 locally,2
61,Finished task <*> in TID <*>. <*> bytes result sent to driver,2
62,Found block rdd_16_0 locally,2
63,Found block rdd_16_4 locally,2
64,Found block rdd_16_3 locally,2
65,Found block rdd_16_1 locally,2
66,Found block rdd_21_4 locally,2
67,Found block rdd_21_3 locally,2
68,Found block rdd_21_2 locally,2
69,Found block rdd_21_1 locally,2
70,Found block rdd_26_4 locally,2
71,Found block rdd_26_1 locally,2
72,Found block rdd_30_3 locally,2
73,Found block rdd_30_2 locally,2
74,Found block rdd_30_1 locally,2
75,Found block rdd_30_4 locally,2
76,"Note: The log messages are not always in the same format, so you may need to adjust the template to match the input.",2
77,Found block rdd_42_31 locally,2
78,Found block rdd_42_33 locally,2
79,Found block rdd_42_34 locally,2
80,Found block rdd_42_35 locally,2
81,Found block rdd_42_37 locally,2
82,Found block rdd_42_38 locally,2
83,Found block rdd_42_36 locally,2
84,Found block rdd_42_39 locally,2
85,Note: The log message may contain placeholders that need to be replaced with actual values.,1
86,"Note: The log messages are not guaranteed to be in any particular format, so you may need to perform some processing on them before using this function.",1
87,Started remoting; listening on addresses,1
88,Successfully started service 'sparkExecutorActorSystem' on port <*>,1
89,Started reading broadcast variable 70293f72-844a-4b39-9ad6-fb0ad7e364e4,1
90,"Note: The log message may contain placeholders for variables, which should be replaced with actual values to extract the corresponding template.",1
91,Starting executor ID <*> on host <*>,1
92,"Note: The number in the log message is a placeholder, you must replace it with the corresponding template.",1
93,"Note: The log messages are not guaranteed to be in any particular format, so you may need to perform some parsing or pattern matching to extract the relevant information.",1
94,"Partition rdd_2_3 not found, computing it",1
95,Started reading broadcast variable mapreduce.task.id,1
96,"Note: The log message may contain placeholders for variables that are not present in the input log. In such cases, you should return an empty string.",1
97,Started reading broadcast variable mapreduce.job.id,1
98,). <*> bytes result sent to driver,1
99,Running task <*> in stage <*>.(TID <*>),1
100,Started reading broadcast variable 6_4,1
101,Started reading broadcast variable 6_3,1
102,Note: The input log messages are generated randomly and may not always follow the same pattern.,1
103,"Partition rdd_11_0 not found, computing it",1
104,"Partition rdd_11_4 not found, computing it",1
105,"Partition rdd_11_3 not found, computing it",1
106,"Partition rdd_11_2 not found, computing it",1
107,"Partition rdd_11_1 not found, computing it",1
108,Finished task <*> in broadcast variable <*>. <*> bytes result sent to driver,1
109,Started reading broadcast variable 16_4,1
110,"Partition rdd_16_3 not found, computing it",1
111,Started reading broadcast variable 16_2,1
112,"Partition rdd_16_1 not found, computing it",1
113,"Partition rdd_21_1 not found, computing it",1
114,Started reading broadcast variable 21_2,1
115,"Partition rdd_26_3 not found, computing it",1
116,Started reading broadcast variable 26_2,1
117,Started reading broadcast variable 26_1,1
118,"Partition rdd_30_0 not found, computing it",1
119,"Partition rdd_30_4 not found, computing it",1
120,"Partition rdd_30_3 not found, computing it",1
121,"Partition rdd_30_2 not found, computing it",1
122,"Partition rdd_30_1 not found, computing it",1
123,"Note: The log messages are not always in the same format, so you may need to adjust the template to match the actual format of the message.",1
124,"Partition rdd_42_4 not found, computing it",1
125,"Partition rdd_42_3 not found, computing it",1
126,"Partition rdd_42_1 not found, computing it",1
127,"Partition rdd_42_6 not found, computing it",1
128,"Partition rdd_42_7 not found, computing it",1
129,"Partition rdd_42_8 not found, computing it",1
130,"Partition rdd_42_10 not found, computing <*>",1
131,"Partition rdd_42_11 not found, computing <*>",1
132,"Partition rdd_42_12 not found, computing <*>",1
133,"Partition rdd_42_14 not found, computing <*>",1
134,"Partition rdd_42_15 not found, computing <*>",1
135,"Partition rdd_42_16 not found, computing <*>",1
136,"Partition rdd_42_17 not found, computing <*>",1
137,"Partition rdd_42_18 not found, computing <*>",1
138,Started reading broadcast variable 42_19,1
139,"Partition rdd_42_20 not found, computing <*>",1
140,"Partition rdd_42_21 not found, computing <*>",1
141,"Partition rdd_42_22 not found, computing <*>",1
142,"Partition rdd_42_23 not found, computing it",1
143,"Partition rdd_42_24 not found, computing <*>",1
144,"Partition rdd_42_25 not found, computing <*>",1
145,"Partition rdd_42_26 not found, computing it",1
146,"Partition rdd_42_27 not found, computing <*>",1
147,"Partition rdd_42_28 not found, computing <*>",1
148,"Partition rdd_42_30 not found, computing <*>",1
149,"Partition rdd_42_31 not found, computing <*>",1
150,"Partition rdd_42_32 not found, computing <*>",1
151,"Partition rdd_42_33 not found, computing it",1
152,"Partition rdd_42_35 not found, computing <*>",1
153,"Partition rdd_42_36 not found, computing <*>",1
154,"Partition rdd_42_37 not found, computing <*>",1
155,"Partition rdd_42_38 not found, computing it",1
